Model,Train_R2_mean,Test_R2_mean,Train_RMSE_mean,Test_RMSE_mean
XGBoost,0.98825044631958,-49.30980949401855,0.5910148322582245,7.546845436096191
RandomForest,0.5613333048974628,-43.70846756302426,3.648528725289193,6.761879499338887
KNN,1.0,-45.039964513260564,0.0,7.142003155617031
ANN,0.030329450892842846,-40.78361712717488,5.393821198452735,6.694800102682606
